Title,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Cover Photo,Author,Illustrator,Publisher,Featured,Copyright Year,ISBN,Awards,Publisher Summary,Chapter/Picture,Languaging,Translator,Languages,Grade Levels,Genres,Topics,Content Standards,WIDA Standards,Translanguaging Typology,Representation,Action Link,Action Link Label
Luis Paints the World,luis-paints-the-world,6165b59ceb6eb980da286f0f,6165b59ceb6eb98279286f78,Mon Aug 30 2021 17:05:26 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 17:00:16 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 17:00:16 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/6169b31fea1b568232999ae2_luispaints.jpg,Terry Farish,Oliver Dominguez,Carolrhoda Books,false,2016,978-1-4677-5796-6,,"Luis wishes Nico wasn’t leaving for the Army. To show Nico he doesn’t need to go, Luis begins a mural on the alleyway wall. Their house, the river, the Parque de las Ardillas—it’s the world, all right there. Won’t Nico miss Mami’s sweet flan? What about their baseball games in the street? But as Luis awaits his brother’s return from duty, his own world expands as well, through swooping paint and the help of their bustling Dominican neighborhood.",Picture Book,Interlingual,,spanish,primary-k-2; intermediate-3-6,fiction,family,,,,,,
"Mango, Abuela, and Me",mango-abuela-and-me,6165b59ceb6eb980da286f0f,6165b59ceb6eb93206286f79,Mon Aug 30 2021 17:05:26 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 16:36:55 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 16:36:55 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/6169ae21412374f1456d3396_MANGO_jacket_for_Meg-copy-768x906.jpg,Meg Medina,Angela Dominguez,Candlewick Press,false,2017,9780763695132,2016 Pura Belpré Honor for both literature and illustration; 2015 Cybils Fiction Picture Book Finalist,Mia doesn’t speak Spanish. Abuela doesn’t speak English. How can they get to know each other if they can’t communicate? It’s a spunky parrot named Mango to the rescue.,Picture Book,Interlingual,,spanish,primary-k-2,fiction,family,,,,,,
"Marta, Big and Small",marta-big-and-small,6165b59ceb6eb980da286f0f,6165b59ceb6eb90222286fbc,Mon Aug 30 2021 17:05:26 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 16:40:45 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/614dfed6db3c4a37cf71b0cf_Marta%20Big%20%26%20Small.jpg,Jen Arena,Angela Dominguez,Roaring Brook Press,true,2016,9781626722439,,"Marta is una niña, an ordinary girl . . . with some extraordinary animal friends! As Marta explores the jungle, she knows she's bigger than a bug, smaller than an elephant, and faster than a turtle. But then she meets the snake, who thinks Marta is sabrosa—tasty, very tasty! But Marta is ingeniosa, a very clever girl, and she outsmarts the snake with hilarious results.",Picture Book,Interlingual,,spanish,primary-k-2,fiction,,,,,,,
Merci Suárez Changes Gears,merci-suarez-changes-gears,6165b59ceb6eb980da286f0f,6165b59ceb6eb9cf51286f7a,Mon Aug 30 2021 17:05:26 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:42:07 GMT+0000 (Coordinated Universal Time),,,Meg Medina,,,false,,,Newbery Award,,,,,,,,,,,,,,
Mirror,mirror,6165b59ceb6eb980da286f0f,6165b59ceb6eb9fa84286f7b,Mon Aug 30 2021 17:05:27 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:42:03 GMT+0000 (Coordinated Universal Time),,,,,,false,,,,,,,,,,,,,,,,,
Mommy's Khimar,mommys-khimar,6165b59ceb6eb980da286f0f,6165b59ceb6eb907b8286f7c,Mon Aug 30 2021 17:05:28 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:41:58 GMT+0000 (Coordinated Universal Time),,,Jamilah Thompkins-Bigelow,Ebony Glenn,Salaam Reads / Simon & Schuster Books for Young Readers,false,2018,9781534400597,,"A young girl plays dress up with her mother’s headscarves, feeling her mother’s love with every one she tries on. Charming and vibrant illustrations showcase the beauty of the diverse and welcoming community in this portrait of a young Muslim American girl’s life. (pub summary)",,,,,,,,,,,,,
My Diary from here to There/Mi diario de aquí hasta allá,my-diary-from-here-to-there-mi-diario-de-aqui-hasta-alla,6165b59ceb6eb980da286f0f,6165b59ceb6eb9c43c286f7d,Mon Aug 30 2021 17:05:28 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:41:55 GMT+0000 (Coordinated Universal Time),,,Amada Irma Pérez,Maya Christina Gonzalez,Lee & Low Books,true,2002,978-0-89239-230-8,Pura Belpré Honor Book,"One night, young Amada overhears her parents whisper of moving from Mexico to the other side of the border—to Los Angeles, where greater opportunity awaits. As she and her family make their journey north, Amada records her fears, hopes, and dreams for their lives in the United States in her diary. How can she leave her best friend behind? What if she can't learn English? What if her family never returns to Mexico? From Juárez to Mexicali to Tijuana to Los Angeles, Amada learns that with her family's love and her belief in herself, she can make any journey and weather any change—here, there, anywhere.",,,Consuelo Hernández,,,fiction,,,,<p>Bilingual with Other Language in the English Side Text</p>,,https://www.leeandlow.com/books/my-diary-from-here-to-there-mi-diario-de-aqui-hasta-alla,Publisher Guide
My Tata's Remedies,my-tatas-remedies,6165b59ceb6eb980da286f0f,6165b59ceb6eb92880286f7e,Mon Aug 30 2021 17:05:28 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:41:51 GMT+0000 (Coordinated Universal Time),,,Romi Capin Rivera-Ashford,Antonio Castro L.,Cinco Punto Press,false,2015,,2016 Pura Belpre Illustrator Honor Book,A bilingual story of family and traditional wisdom: Tata teaches grandson Aaron natural remedies through healing neighbors and family. (publisher's summary),,,,,,fiction,,,,<p>What the author does to support the reader’s ability to translanguage.</p>,,,
Nino Wrestles the World,nino-wrestles-the-world,6165b59ceb6eb980da286f0f,6165b59ceb6eb91ac0286fbe,Mon Aug 30 2021 17:05:29 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 18:14:27 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/614e142878f0b3a5bacff218_9781250062703.jpg,Yuyi Morales,,Square Fish,false,2015,9781250062703,"2016 Pura Belpre Illustrator Award, 2016 Charlotte Zolotow Award","Señoras y señores, put your hands together for the fantastic, spectacular, one of a kind . . . Niño! Fwap! Slish! Bloop! Krunch! He takes down his competition in a single move! No opponent is too big a challenge for the cunning skills of Niño—popsicle eater, toy lover, somersault expert, and world champion lucha libre competitor! Niño Wrestles the World is in English with Spanish vocabulary, and is a fun, colorful story about a boy wrestling with imaginary monsters (including an Olmec Head and La Llorona) and adversaries like his younger sisters. This is a joyful picture book about imagination, play, and siblings. (publisher's summary)",Picture Book,Interlingual,,spanish,primary-k-2,fiction,culture; family; folk-tales-fables,,,<p>Comprehensive Text and Illustration Integration</p>,,,
Olinguito,olinguito,6165b59ceb6eb980da286f0f,6165b59ceb6eb91369286fbd,Mon Aug 30 2021 17:05:29 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 16:45:50 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/614dffe756a837a71643ec6e_olinguito.jpg,Lulu Delacre,,Lee & Low Books,false,2016,9780892393275,2017 Orbis Pictus Honor,"With lyrical text in both Spanish and English, we travel to the magical world of a cloud forest in the Andes of Ecuador. We discover the bounty of plants, animals, and other organisms that live there as we help a zoologist look for the elusive olinguito, the first new mammal species identified in the Americas since 1978. Not your usual ABC book, the alphabet is an organizing feature to introduce children to rich vocabulary as they learn about a unique environment. Thoroughly researched and exquisitely illustrated with colorful, realistic images, the book is a visual delight while it provides a wealth of information. Backmatter includes articles about cloud forests and the discovery of the olinguito in 2013, and an extensive glossary with the scientific names of the species pictured. This is a unique book to treasure on many levels. (pub summary)",Picture Book,Bilingual,,spanish,primary-k-2; intermediate-3-6,non-fiction,animals,,,,,https://www.leeandlow.com/books/olinguito-de-la-a-a-la-z-descubriendo-el-bosque-nublado-olinguito-from-a-to-z-unveiling-the-cloud-forest,Teaching Guides and Activity Kit
Other Words for Home,other-words-for-home,6165b59ceb6eb980da286f0f,6165b59ceb6eb9707b286f7f,Mon Aug 30 2021 17:05:29 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:41:41 GMT+0000 (Coordinated Universal Time),,,Jasmine Warga,,,false,,,Newbery Honor,,,,,,,,,,,,,,
Pancho Rabbit and the Coyote,pancho-rabbit-and-the-coyote,6165b59ceb6eb980da286f0f,6165b59ceb6eb9b2f0286f8b,Mon Aug 30 2021 17:05:29 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:41:40 GMT+0000 (Coordinated Universal Time),,,Duncan Tonatiuh,,,false,,,Tomás Rivera Mexican American Children’s Book Award,,,,,,,,,,,,,,
